judgement_id,tribunal,chamber,chamber_group,hearing_datetime,decision_datetime,created_datetime,publication_datetime,last_updatedtime,file_number,file_no_1,file_no_2,file_no_3,reported_number,reported_no_1,reported_no_2,reported_no_3,neutral_citation_number,ncn_year,ncn_code1,ncn_citation,ncn_code2,claimant,respondent,notes,is_published,subcategory_id,sec_subcategory_id,keywords,decision_type
1,,,,,2/27/1999,3/22/2002,3/22/2002,3/25/2002,AB/02/9311,,,,,,,,[2011] UKUT 0489 (AAC),,,,,Simon Brown,,,0,,,This is a test,
2,,,,,1/8/2002,3/25/2002,3/25/2002,11/18/2002,CIS 5165 1998,CIS,5165,1998,,IS,7,02,,,,,,,,"Applicable amount - higher pensioner premium -entitlement to qualifying benefit ceased on attaining pensionable age -meaning of ""remained continuously entitled to income support""

The claimant was entitled to long- term incapacity benefit. This ceased when she became 60 in January 1997 and became entitled to Category A retirement pension. On 11 September 1997 she claimed income support on the basis that she was entitled to have higher pensioner premium included in her applicable amount. She would not otherwise have been entitled to income support because of the level of her income. The claim was rejected on the ground that the claimant had not been continuously entitled to income support since her entitlement to long-term incapacity benefit ceased on account of payment of retirement pension as required by paragraph 12(1)(c) of Schedule 2 to the Income Support (General) Regulations 1987 and so did not satisfy the conditions for higher pensioner premium prescribed in paragraph 10 of Schedule 2. The claimant requested a review which was refused and her appeal against that decision was dismissed by the tribunal.

Held, dismissing the appeal, that:
1.	the effect of section 1 of the Social Security Administration Act 1992 was that the claimant did not become entitled to income support until she made her claim on 11 September 1997 and so she was not continuously entitled to income support in the period after her entitlement to long-term incapacity benefit ceased and so was not entitled to higher pensioner premium (para. 7);
2.	(obiter) paragraph 12(1)(c)(i) of  Schedule 2 does not require a claimant to have been entitled to income support immediately before attaining pensionable age to be entitled to higher pensioner premium; the words ""has since remained continuously entitled to income support"" can only be read as referring back to the earlier words ""entitlement to [incapacity] benefit ceased"", CIS/4209/1997 followed (para. 10);
3.	(obiter) a claimant falls within paragraph 12(1)(c)(i) if he ceases to be entitled to long-term incapacity benefit on attaining pensionable age and the words of the provision ""ceased on account of the payment of a retirement pension"" had to be read in that light (paras. 15 to 17);
4.	(obiter) the concluding words of paragraph 12(1)(c) do not require an underlying entitlement to income support independently of higher pensioner premium before attaining pensionable age as a condition of entitlement to higher pensioner premium, CIS/4209/1997 not followed (para. 13).",1,172,,,
3,,,,,1/22/2002,3/25/2002,3/25/2002,6/14/2002,CIB 3985 2001,CIB,3985,2001,,,,,,,,,,,,Whether there are circumstances in which a tribunal is required to obtain evidence of earlier all work tests/personal capability assessments.,1,257,,"Reviews, revisions and supersessions: supersession: incapacity",
4,,,,,1/24/2002,3/25/2002,3/25/2002,8/19/2002,CIS 381 2001,CIS,381,2001,,IS,4,02,,,,,,,,"Income - bankrupt - whether annuity which had vested in the trustee in bankruptcy was actual income - whether annuity notional income

The claimants husband was made bankrupt in 1996. In 1994, the husband had purchased an annuity with the proceeds of a personal pension scheme. Under section 306 of the Insolvency Act 1986, his right to that annuity was property which vested in the trustee in bankruptcy on the latters appointment taking effect. However, payments under that annuity were not in fact made direct to the trustee until 1 November 1997. Meanwhile, on 6 October 1997, the claimant made a claim for income support, declaring both her own and her husbands annuities. Benefit was awarded taking account of both annuities as income. On 18 November 1997 the claimant reported that her husband had ceased to receive his annuity and in August 1998 the husband reported that the amount of his annuity had increased. 

The adjudication officer reviewed the operative income support decision, finding that the claimants income, taking into account the husbands annuity, was in excess of her applicable amount, and decided that the claimant was therefore not entitled to income support. The claimant appealed, arguing that the decision was wrong in law in the light of the decision of Ferris J in Re Landau (a bankrupt), Pointer v Landau [1998] Ch 223 and that the payments made to her husbands trustee in bankruptcy could not in law be treated as part of her income. The adjudication officer relied on CIS/212/1989 in which the Commissioner had decided the share of profits from the claimants wife (an undischarged bankrupt who was trading in partnership with her husband in a florists business) should be treated as part of the claimants income. The adjudication officer had further relied on CIS/295/1994 which had followed CIS/212/1989. The appeal tribunal dismissed the claimants appeal. The claimant appealed to the Commissioner, maintaining her case that the income from her husbands annuity was not available to the couple to use to live on and that, as a matter of law, it belonged to the trustee in bankruptcy. The Secretary of State opposed the appeal, but drew attention to the decision in CIS/745/1999 (now reported as R(IS) 4/01) in which the Commissioner had held (relying on the Court of Appeal in Leeves v Chief Adjudication Officer now reported as R(IS) 5/99) that an amount deducted from the claimants occupational pension at source to meet an attachment of earnings order did not form part of the claimants income. The Secretary of State further recognised that the effect of CIS/212/1989 had been questioned in other decisions. 

Held, allowing the appeal, that:
1. in the present case the claimants husbands right to payment of the annuity had vested in the trustee in bankruptcy under section 306 of the Insolvency Act 1986 and the payments of the annuity were not part of his and the claimants actual income for income support purposes (paragraph 22);
2. as to the meaning of the term income, the general approach was set out by the Court of Appeal in Leeves v Chief Adjudication Officer [R(IS) 5/99] and applied by the Commissioner in CIS/5479/1997, that is that, as there is no general definition of income in the Income Support Regulations or the Social Security Contributions and Benefits Act 1992, the term should be given its ordinary and natural meaning (paragraph 18);
3. taking that approach, the Court of Appeal in Leeves had found that it was income which was received which counted in the Income Support Regulations, and, in CIS/5479/1997, the Commissioner had found that that approach confirmed his view of the general context of the Regulations which was that income to be taken into account was income which was actually paid to a claimant (referring to paragraph 9 of CIS/5479/1997) (paragraph 18);
4. that general approach was inconsistent with paragraph 9 of CIS/212/1989 and with the result reached in CIS/295/1994, and, since the approach rested in part on the authority of the Court of Appeal in Leeves, the Commissioner would apply it unless there were something to make the circumstances of bankruptcy a special case (paragraph 19);
5.  the Commissioner concluded that bankruptcy was not a special case, and, accordingly, he declined to follow paragraph 9 of CIS/212/1989 and CIS/295/1994 being satisfied that they were wrong (paragraphs 20 and 22);
6. as at 4 September 1998 (the date beyond which any change of circumstances could not be taken in account) regulation 42(4) (as it stood before 9 November 1999) of the Income Support Regulations did not apply, nor did any other part of regulation 42 on notional income and, furthermore, there was no question of any intentional deprivation of income (paragraph 23);
7. any consideration of the amendment to regulation 42(4) as from 9 November 1999 was a matter for the Secretary of State.

The Commissioner found that the tribunals decision was erroneous in point of law, set it aside and substituted his own decision. 

[Note: In relation to bankruptcy orders made on or after 29 May 2000, section 11 of the Welfare Reform and Pensions Act 1999 provides that any rights of a bankrupt under approved pension arrangements are excluded from the bankrupts estate (see section 12 for unapproved arrangements).]",1,111,,,
5,,,,,1/25/2002,3/25/2002,3/25/2002,6/14/2002,CJSA 69 2001,CJSA,69,2001,,,,,,,,,,,,No right of appeal againts the refusal to accept a claim as validly made-whether regulation 27 and Schedule 2 of the Decisions and Appeals Regulations is ultra vires.,1,55,283,Claims and payments: required information; tribunal procedure and practice: tribunal jurisdiction,
6,,,,,1/24/2002,3/25/2002,3/25/2002,6/14/2002,CCS 2910 2001,CCS,2910,2001,,,,,,,,,,,,Whether an application under section 4 of the Child Support Act 1991 can be withdrawn.,1,31,,Child support: applications,
7,,,,,1/28/2001,3/25/2002,7/4/2002,7/4/2002,CI 2553 2001,CI,2553,2001,,,,,,,,,,,,Principles of assessment of disablement.,1,188,,,
8,,,,,1/15/2002,3/25/2002,3/25/2002,6/14/2002,CSDLA 552 2001,CSDLA,552,2001,,,,,,,,,,,,Wheter a claimant must suffer from a recognised medical conditon that has caused physical or mental diablement-whether the existence of care needs is itself sufficient.,1,84,,"DLA, AA, MA: general: severe physical disablement",
9,,,,,12/19/2002,3/25/2002,3/25/2002,6/21/2005,CIS 5906 1999,CIS,5906,1999,,IS,4,03,,,,,,Secretary of State for Work and Pensions v. Hourigan,,"Capital - tenants in common owning property in unequal shares - whether to be regarded as holding equal shares 
The claimant and her son bought her home (which in 1993 was worth £27,000) from the local authority, contributing one sixth and five sixths respectively to the total purchase price. In March 1993 the claimant moved to a residential home, and in June 1993 her income support was terminated on the grounds that she possessed capital in excess of £8000, as a result of her being deemed under regulation 52 of the Income Support (General) Regulations 1997 to be the beneficial owner of half of the house. That decision was appealed against. In August 1997 the claimant died, and her son, who at all material times was her appointee, continued the appeal. In June 1998 the social security appeal tribunal held that the deceased claimant had an equal half-share in the value of the house and therefore did not qualify for income support. In October 2001 the Commissioner allowed an appeal from that decision, substituting a determination that at all material times the value of her capital was less than £8000. The Secretary of State appealed to the Court of Appeal.
Held, dismissing the appeal, that:
1.	(per Brooke LJ) the critical words in regulation 52 for interpretation on the appeal are 
"" ... where a claimant and one or more persons are beneficially entitled in possession to any capital asset ... ""; the language of regulation 52 lends itself naturally to a situation in which two or more people are jointly entitled to the equitable interest in the same capital asset, in which case they do not each possess a separate share in the equitable interest, but are jointly vested with the whole of that interest; in that case, the natural reading of regulation 52 is therefore to treat that unity as severed and to treat the claimant as if he/she was entitled to an equal share (with the others) of the whole beneficial interest; the claimant is then treated as possessing capital which he or she does not in fact possess (such result being permitted by section 136(5)(b) of the Social Security Contributions and Benefits Act 1992) (paragraph 16);
2.	however, with tenancies in common, there is no need to treat a claimant's unity of interest as if it had been severed for the purpose of computing fairly the capital he/she owns for the purposes of Part VII of the 1992 Act; a beneficial interest which a claimant owns as a tenant in common is an asset separately disposable by him or her in both English and Scots law (paragraph 17);
3.	on the facts of the present case, the son's five sixths beneficial interest in his mother's house and his mother's one sixth interest represented separate capital assets of which each was free to dispose; it would therefore be misuse of language to say that the two of them were beneficially entitled to the house within the meaning of regulation 52: they were not (paragraph 18);
4.	the interpretation of regulation 52 in CIS/3283/1997 where it was stated that the application of the regulation may inescapably result in a claimant being regarded as possessing a greater share than in fact he did, was not inevitable (paragraphs 22 and 23);

5.	(per Sedley LJ) the current form of regulation 52 does not even meet the purpose of administrative convenience argued for by the Secretary of State (paragraph 27);

6.	the Secretary of State's suggested construction of the regulation does, however, replace the true share with a crude calculation which can be both a source of real unfairness and an incentive to create multiple shares, perhaps spuriously, in order to drive up the divisor and so drive down the imputed value of the claimant's interest (paragraph 28);

7.	in view of these considerations, the Secretary of State did not make out the breadth of meaning contended for and, the Court being left with the power granted by Parliament, that power would be read down (as the Commissioner had done) so as to protect the deceased claimant (paragraph 30);
Auld LJ agreed with the judgements of Brooke and Sedley LJJ.",1,24,,,
10,,,,,2/12/2002,3/25/2002,3/25/2002,6/14/2002,CCR 3558 2000,CCR,3558,2000,,,,,,,,,,,,"Adopting reasoned medical evidence.

Whether claimant is party to a compensator's appeal.",1,73,282,Compensation recovery: scope of appeal; Tribunal procedure and practice: statements of reasons,
