judgement_id,judge_id
1,39
2,4
3,16
4,23
5,11
6,16
7,37
8,27
9,19
10,31
11,23
12,16
13,31
14,18
15,18
16,16
17,22
18,22
19,37
20,31
21,31
22,31
23,31
24,31
25,23
26,23
27,23
28,23
29,23
30,23
31,31
32,19
33,18
34,18
35,16
36,23
37,16
38,16
39,38
40,24
41,39
42,40
43,31
44,19
45,18
46,31
47,31
48,31
49,37
50,14
51,18
52,23
53,18
54,37
55,37
56,37
57,37
58,37
59,37
60,37
61,14
62,16
63,22
64,23
65,14
66,31
67,34
68,23
69,23
70,39
71,23
72,6
73,22
74,6
75,6
76,16
77,3
78,23
79,23
80,31
81,18
82,18
83,23
84,16
85,14
86,16
87,16
88,7
89,31
90,16
91,31
92,16
93,40
94,14
95,16
96,37
97,18
98,37
99,37
100,6
101,6
102,16
103,31
104,31
105,31
106,11
107,38
108,38
109,34
110,34
111,16
112,11
113,22
114,23
115,31
116,3
117,31
118,14
119,37
120,37
121,34
122,3
123,18
124,16
125,39
126,39
127,4
128,37
129,27
130,27
131,39
132,37
133,37
134,31
135,18
136,31
137,22
138,22
139,31
140,11
141,37
142,23
143,23
144,23
145,3
146,16
147,16
148,37
149,11
150,34
151,14
152,34
153,34
154,16
155,22
156,23
157,31
158,23
159,23
160,34
161,37
162,22
163,37
164,34
165,14
166,31
167,6
168,27
169,31
170,40
171,34
172,38
173,3
174,34
175,4
176,23
177,37
178,37
179,16
180,19
181,27
182,18
183,37
184,22
185,14
186,16
187,14
188,16
189,7
190,39
191,23
192,16
193,38
194,12
195,11
196,34
197,16
198,37
199,23
200,14
201,6
202,6
203,38
204,38
205,38
206,3
207,6
208,16
209,40
210,37
211,34
212,23
213,14
214,14
215,23
216,39
217,34
218,34
219,39
220,18
221,18
222,18
223,31
224,37
225,18
226,4
227,16
228,16
229,18
230,14
231,14
232,31
233,16
234,16
235,14
236,11
237,16
238,12
239,18
240,40
241,3
242,39
243,38
244,23
245,31
246,31
247,14
248,18
249,31
250,31
251,31
252,27
253,14
254,22
255,31
256,22
257,22
258,31
259,16
260,37
261,12
262,37
263,31
264,23
265,12
266,37
267,37
268,37
269,27
270,27
271,11
272,6
273,39
274,16
275,31
276,31
277,16
278,6
279,16
280,11
281,37
282,37
283,18
284,11
285,11
286,37
287,34
288,4
289,6
290,34
291,31
292,11
293,38
294,16
295,38
296,37
297,23
298,16
299,16
300,16
301,22
302,23
303,23
304,3
305,40
306,35
307,14
308,23
309,40
310,23
311,14
312,3
313,3
314,23
315,16
316,3
317,11
318,40
319,22
320,23
321,40
322,40
323,40
324,40
325,22
326,14
327,23
328,7
329,23
330,40
331,14
332,14
333,31
334,7
335,11
336,35
337,14
338,23
339,29
340,38
341,16
342,28
343,40
344,31
345,23
346,40
347,40
348,23
349,14
350,37
351,35
352,31
353,3
354,40
355,31
356,31
357,23
358,23
359,23
360,28
361,14
362,23
363,16
364,23
365,40
366,40
367,40
368,40
369,31
370,30
371,33
372,24
373,7
374,33
375,33
376,10
377,33
378,24
379,12
380,7
381,8
382,32
383,17
384,7
385,12
386,29
387,29
388,7
389,17
390,33
391,29
392,29
393,38
394,8
395,13
396,7
397,29
398,29
399,8
400,38
401,13
402,38
403,38
404,29
405,17
406,8
407,12
408,32
409,29
410,33
411,8
412,24
413,24
414,24
415,35
416,7
417,24
418,29
419,33
420,29
421,29
422,42
423,29
424,17
425,29
426,29
427,40
428,40
429,8
430,12
431,29
432,29
433,29
434,17
435,29
436,29
437,8
438,40
439,29
440,25
441,30
442,13
443,29
444,7
445,29
446,7
447,33
448,29
449,38
450,7
451,7
452,7
453,35
454,12
455,32
456,24
457,13
458,17
459,7
460,31
461,12
462,29
463,40
464,40
465,40
466,40
467,12
468,29
469,38
470,29
471,23
472,24
473,29
474,29
475,33
476,12
477,29
478,24
479,31
480,42
481,29
482,17
483,8
484,12
485,17
486,29
487,17
488,29
489,29
490,40
491,17
492,17
493,13
494,33
495,29
496,7
497,17
498,8
499,40
500,32
501,38
502,17
503,17
504,17
505,13
506,23
507,8
508,32
509,17
510,24
511,17
512,8
513,29
514,29
515,29
516,29
517,33
518,13
519,29
520,13
521,39
522,8
523,8
524,32
525,13
526,29
527,29
528,7
529,42
530,40
531,8
532,12
533,12
534,29
535,42
536,29
537,12
538,7
539,38
540,33
541,34
542,40
543,11
544,33
545,8
546,7
547,17
548,13
549,25
550,40
551,33
552,7
