subcategory_id,category_id,num,subcategory_name
1,2,1,child benefit
2,2,2,child care credit
4,2,4,guardians allowance
5,2,5,benefit increases for children
6,2,6,other
7,3,1,bereavement payments
8,3,2,bereaved parents allowance
9,3,3,social fund funeral payments
10,3,4,widowed mothers allowance
11,3,5,widowers allowance
12,3,6,widowers pension
13,3,7,widows allowance
14,3,8,widows payments
15,3,9,widows pension
16,3,10,other
17,4,1,Children's capital
18,4,2,Disregards: business assets
19,4,3,Disregards: home and other premises
20,4,4,"Disregards: pensions, policies and similar"
21,4,5,Disregards: personal injury/other compensation
22,4,6,Disregards: other
23,4,7,Income as capital
24,4,8,Joint holdings
25,4,9,Notional Capital: deprivation
26,4,10,Notional Capital: diminishment
27,4,11,Notional Capital: other
28,4,12,Ownership/Possession
29,4,13,Valuation
30,4,14,Other
31,5,1,applications
32,5,2,calculation of income
33,5,3,cancellation
34,5,4,child
35,5,5,variation/departure directions: diversion of income
36,5,6,variation/departure directions: just and equitable
37,5,7,variation/departure directions: lifestyle inconsistent
38,5,8,variation/departure directions: other
39,5,9,effective date
40,5,10,housing costs
41,5,11,interim maintenance assessments/decisions
42,5,12,jurisdiction
43,5,13,maintenance assessments/calculations
44,5,14,periods of assessment/calculation
45,5,15,property and capital transfers
46,5,16,receipt of benefit
47,5,17,travel to work costs
48,5,18,tribunal practice
49,5,19,other
50,6,1,appointment to act
51,6,2,benefits claimed
52,6,3,good cause
53,6,4,jurisdiction
54,6,5,period of claim
55,6,6,required information
56,6,7,late claim: housing and council tax benefits
57,6,8,late claim: other benefits
58,6,9,late payment
59,6,10,other
60,7,1,Commissioners' jurisdiction
61,7,2,Commissioners' practice
62,7,3,Commissioners' procedure
63,7,4,evidence
64,7,5,fair hearing
65,7,6,lapsing of appeals
66,7,7,leave to appeal to Commissioners
67,7,8,leave to appeal to higher courts
68,7,9,notice requirements
69,7,10,precedence of decisions
70,7,11,representatives
71,7,12,other
72,8,1,cause of payment of benefits
73,8,2,scope of appeal
74,8,3,other
75,9,1,contributions
76,9,2,contribution conditions
77,9,3,credits and credited earnings
78,9,4,other
79,10,1,accommodation costs
80,10,2,age conditions
81,10,3,qualifying periods
82,10,4,severe behavioural problems
83,10,5,severe mental disablement
84,10,6,severe physical disablement
85,10,7,terminal illness
86,10,8,other
87,11,1,children under 16
88,11,2,exertion endangering life
89,11,3,inability to walk
90,11,4,guidance or supervision
91,11,5,virtual inability to walk
92,11,6,other
93,12,1,attention: daytime
94,12,2,attention: night
95,12,3,attention: children under 16
96,12,4,bodily functions
97,12,5,cooking test
98,12,6,supervision: continual daytime
99,12,7,supervision: watching over at night
100,12,8,supervision: children
101,12,9,other
102,13,1,Benefits
103,13,2,Children's Income
104,13,3,Councillors
105,13,4,Calculation: self employed
106,13,5,Calculation: employed
107,13,6,Capital treated as income
108,13,7,Disregards
109,13,8,Notional Earnings
110,13,9,Notional Income
111,13,10,Other income and payments
112,13,11,Termination and compensation payments
113,13,12,other
114,14,1,Agreement on European Economic Area
115,14,2,Association and Cooperation Agreements
116,14,3,Council directive 76/207/EEC
117,14,4,Council directive 79/7/EEC
118,14,5,Council directive 86/378
119,14,6,Council regulations 1408/71/EEC and (EC) 883/2004 
120,14,7,Council regulation 574/72/EEC
121,14,8,discrimination by gender
122,14,9,discrimination by nationality
123,14,10,free movement
124,14,11,references to European Court
125,14,12,workers
126,14,13,other
127,16,1,backdating
128,16,2,council tax benefit
129,16,3,"liability, commerciality and contrivance"
130,16,4,non-dependants
131,16,5,"occupation of the home, two homes and temporary absence"
132,16,6,payments that are eligible for HB
133,16,7,recovery of overpayments
134,16,8,rent restrictions
135,16,9,other
136,17,1,application of Human Rights Act
137,17,2,article 3 (torture)
138,17,3,article 6 (fair hearing)
139,17,4,article 8 (private and family life)
140,17,5,article 9 (freedom of thought)
141,17,6,article 10 (freedom of expression)
142,17,7,article 12 (right to marry)
143,17,8,article 13 (redress)
144,17,9,article 14 (non-discrimination)
145,17,10,other Convention articles
